node;ingest_year;num_alarms_per_year;sum_duration_hours;avg_duration_hours;total_tics
CX30L;2024;19;28.1;1.48;0
CX78M;2024;19;22.02;1.16;2
MA13Z;2024;5;8.01;1.6;0
LU01I;2024;33;164.16;4.97;0
VI02G;2024;7;5.82;0.83;0
MX41D;2024;10;10.11;1.01;2
VX35E;2024;5;2.25;0.45;110
BX21K;2024;7;21.75;3.11;0
SE15D;2024;6;19.73;3.29;0
LX03J;2024;11;54.83;4.98;0
LX04I;2024;8;3.24;0.41;50
GC04V;2024;5;8.91;1.78;30
GC06M;2024;16;14.8;0.93;1
GC20D;2024;33;1.51;0.05;0
LX08F;2024;5;57.84;11.57;2
VA63F;2024;14;3.53;0.25;0
BA89Y;2024;53;60.58;1.14;0
GI72W;2024;77;7.6;0.1;0
JX49D;2024;8;0.76;0.09;0
LX41M;2024;1;0.0;0.0;0
LX06Z;2024;4;2.34;0.59;0
GI05Q;2024;6;0.66;0.11;0
TX53X;2024;7;2.19;0.31;0
GI14H;2024;51;87.89;1.72;132
TX18U;2024;17;5.91;0.35;0
TX87A;2024;6;1.99;0.33;0
LX01P;2024;9;5.56;0.62;0
GC14N;2024;19;2109.83;111.04;7
CA35W;2024;12;9.4;0.78;0
AV66W;2024;47;15.41;0.33;0
CA94Z;2024;76;19.72;0.26;0
SA46I;2024;23;2.75;0.12;0
VX96A;2024;27;9.0;0.33;2
SE90A;2024;20;68.82;3.44;9
MA59Q;2024;16;9.19;0.57;0
TF25R;2024;201;34.27;0.17;3
TE12L;2024;15;5.66;0.38;0
SX98W;2024;40;60.18;1.5;0
TX55Q;2024;40;77.9;1.95;0
BA25W;2024;16;4.5;0.28;0
CO90E;2024;15;2.35;0.16;0
TE34T;2024;21;5.82;0.28;0
BU62M;2024;19;14.03;0.74;3
MX98V;2024;14;4.76;0.34;0
LU66W;2024;10;2.61;0.26;0
TE08T;2024;14;34.08;2.43;0
GR30J;2024;19;1.88;0.1;0
LU28W;2024;19;4.58;0.24;0
BX97Q;2024;14;4.4;0.31;3
OX63I;2024;14;13.11;0.94;0
TO32V;2024;129;612.9;4.75;5
GC01S;2024;13;6.36;0.49;0
MX13D;2024;122;311.37;2.55;6
ZX03R;2024;43;39.66;0.92;0
BI01Y;2024;635;45.39;0.07;0
GI25H;2024;42;1.41;0.03;0
TX73S;2024;13;8.26;0.64;2
BY51V;2024;6;3.46;0.58;0
BY60V;2024;7;3.27;0.47;0
BX73I;2024;9;7.0;0.78;0
LX12V;2024;7;2.35;0.34;0
AB69S;2024;24;45.88;1.91;1
BX76S;2024;5;0.58;0.12;0
MU19O;2024;9;1.76;0.2;0
GR28H;2024;6;3.01;0.5;0
HX13M;2024;3;1.0;0.33;0
HX06W;2024;3;0.83;0.28;0
HX13L;2024;10;1.25;0.13;0
AL61W;2024;55;15.63;0.28;0
OR23P;2024;1;0.5;0.5;0
MX67Q;2024;40;4.29;0.11;0
SX35W;2024;7;0.49;0.07;0
SE15E;2024;177;8.52;0.05;0
VX87A;2024;25;8.68;0.35;0
TF18R;2024;12;11.51;0.96;2
MA46L;2024;38;0.98;0.03;0
SX36W;2024;17;10.24;0.6;0
TO77A;2024;35;7.68;0.22;54
TO78R;2024;35;7.77;0.22;58
OX45W;2024;27;70.27;2.6;0
CO39D;2024;4;0.25;0.06;0
TF51Y;2024;3;0.17;0.06;0
TX04R;2024;21;10.9;0.52;0
MU92Y;2024;15;2.74;0.18;0
AL00W;2024;25;16.68;0.67;0
OX12B;2024;1;0.0;0.0;0
MU34G;2024;7;0.42;0.06;0
CX14G;2024;3;2875.42;958.47;88
SG34M;2024;15;136.51;9.1;1
BI11Z;2024;7;24.38;3.48;7
TX97M;2024;51;47.18;0.93;4
BX19A;2024;28;2.91;0.1;0
VX35C;2024;3;6.08;2.03;0
OX48K;2024;98;18.28;0.19;0
MA44I;2024;5;1.33;0.27;0
CO04B;2024;132;420.56;3.19;0
GI48J;2024;19;11.76;0.62;1
LX30M;2024;1;0.0;0.0;0
GC13V;2024;13;8.19;0.63;0
GI08Z;2024;4;0.25;0.06;0
GI18J;2024;8;0.48;0.06;0
TX77X;2024;10;4.82;0.48;0
BX85T;2024;6;3.75;0.63;0
CO37R;2024;18;5.72;0.32;0
SO39M;2024;25;10.35;0.41;3
SE17D;2024;3;0.24;0.08;0
HX80W;2024;25;5.74;0.23;0
AL54W;2024;142;69.87;0.49;0
SG18W;2024;21;13.45;0.64;0
SG74W;2024;21;6.54;0.31;0
AX99E;2024;3;0.4;0.13;0
BY85V;2024;4;0.42;0.11;0
BX71U;2024;32;7.09;0.22;0
MX79B;2024;25;55.68;2.23;2
MA36Z;2024;14;8.67;0.62;0
TF06U;2024;18;6.21;0.35;1
TF39E;2024;19;16.6;0.87;0
CU72A;2024;29;5.77;0.2;0
AB29R;2024;17;22.06;1.3;1
NA46F;2024;11;37.27;3.39;0
CA80Z;2024;36;59.65;1.66;0
BX38U;2024;15;5.57;0.37;0
CA99B;2024;5;125.52;25.1;14
GC35S;2024;21;12.67;0.6;0
CC02R;2024;5;1.25;0.25;0
VA81W;2024;9;0.35;0.04;0
PO20I;2024;16;4.4;0.28;0
VA86W;2024;20;6.97;0.35;0
SO74W;2024;12;14.91;1.24;2
NA08A;2024;15;6.53;0.44;0
CX95M;2024;23;97.82;4.25;0
JX09A;2024;35;3.75;0.11;0
BX33N;2024;4;5.22;1.31;1
CO94O;2024;24;103.1;4.3;0
SA53I;2024;77;91.56;1.19;0
LX15D;2024;22;5.16;0.23;0
ZX02R;2024;19;2.75;0.14;0
MU55J;2024;20;7.15;0.36;0
MX88H;2024;12;5.41;0.45;0
GC23V;2024;12;1.1;0.09;0
LX82X;2024;6;1.5;0.25;0
GI06K;2024;31;7.32;0.24;0
LX35Z;2024;2;0.0;0.0;0
TX14C;2024;14;86.17;6.16;68
TX15T;2024;7;0.93;0.13;0
TX05K;2024;7;4.17;0.6;0
GI91Y;2024;9;0.47;0.05;0
GI99Z;2024;13;1.44;0.11;2
TX08O;2024;7;2.2;0.31;0
SO37W;2024;36;44.14;1.23;3
MA70S;2024;28;16.91;0.6;0
HX23R;2024;10;5.08;0.51;0
MX77P;2024;5;0.0;0.0;0
SO80M;2024;100;20.35;0.2;1
MX38C;2024;76;46.61;0.61;2
TX13B;2024;15;0.17;0.01;0
LU38I;2024;49;35.5;0.72;2
TF41I;2024;10;4.9;0.49;1
TF24O;2024;11;2.41;0.22;0
TF34S;2024;22;5.6;0.25;1
GR02K;2024;42;9.9;0.24;0
TF13F;2024;34;7.09;0.21;0
BU13L;2024;31;10.37;0.33;2
OR28W;2024;88;79.64;0.9;0
MU42Y;2024;16;1.16;0.07;0
MX33E;2024;406;184.13;0.45;100
SG12W;2024;22;41.78;1.9;1
HU48E;2024;12;2.02;0.17;0
CO04O;2024;14;0.57;0.04;0
SE16C;2024;45;11.93;0.27;0
MX47X;2024;16;13.44;0.84;0
MX98L;2024;1;0.0;0.0;0
MX55E;2024;7;423.43;60.49;15
CX03G;2024;17;0.44;0.03;0
CO18O;2024;33;28.57;0.87;0
C5792F3;2024;1;0.36;0.36;0
PO10W;2024;30;12.56;0.42;0
CU17K;2024;30;43.32;1.44;61
LX95M;2024;15;10.01;0.67;0
AX25X;2024;4;1.58;0.4;0
TO04R;2024;139;37.69;0.27;0
BY49V;2024;9;3.47;0.39;0
CO39B;2024;195;548.08;2.81;0
SS31E;2024;6;93.71;15.62;2
CA03W;2024;23;33.62;1.46;0
CC90T;2024;16;22.6;1.41;2
CA37Z;2024;76;49.46;0.65;0
LX65X;2024;1;0.0;0.0;0
GI04R;2024;13;0.79;0.06;0
GI12R;2024;35;7.77;0.22;0
LX10Q;2024;6;2.34;0.39;0
VA17G;2024;15;3.19;0.21;0
TO82R;2024;184;16.85;0.09;10
BI30Y;2024;7;9.74;1.39;114
HX30C;2024;4;14.66;3.67;0
CO92D;2024;15;13.51;0.9;0
AL14D;2024;9;3.91;0.43;0
TO55A;2024;35;9.71;0.28;68
BX45X;2024;17;0.32;0.02;0
JX25K;2024;461;206.07;0.45;7
TF24G;2024;11;0.67;0.06;0
AL14M;2024;14;23.24;1.66;0
CU48A;2024;278;20.55;0.07;0
SA30W;2024;9;9.16;1.02;0
TO95A;2024;31;38.93;1.26;85
AX79S;2024;21;2.43;0.12;0
CC88W;2024;10;2.75;0.28;0
CA59Z;2024;16;1.19;0.07;0
CC19J;2024;30;9.49;0.32;0
SO38W;2024;18;35.15;1.95;0
LX55S;2024;175;23.92;0.14;14
TF25V;2024;28;10.64;0.38;0
HU13W;2024;243;4.26;0.02;0
LE06I;2024;15;15.71;1.05;0
PO97W;2024;2;0.33;0.17;0
MX85V;2024;10;7.01;0.7;1
BY55V;2024;10;5.91;0.59;0
LX06J;2024;16;2.98;0.19;0
ZX39R;2024;50;27.64;0.55;0
BX07I;2024;13;7.57;0.58;115
HX31C;2024;23;54.59;2.37;0
HX50A;2024;1;0.75;0.75;0
HX69H;2024;7;1.58;0.23;0
GU71A;2024;28;4.66;0.17;0
BA04P;2024;31;5.89;0.19;0
CX78W;2024;27;10.34;0.38;1
TO18A;2024;29;26.16;0.9;273
TF16V;2024;25;22.93;0.92;1
TF27P;2024;15;5.35;0.36;1
TF16R;2024;17;5.74;0.34;0
OX16I;2024;16;12.4;0.78;0
MA10W;2024;41;30.73;0.75;0
ZX13B;2024;11;6.01;0.55;0
LU22R;2024;3;6.08;2.03;0
CA84Z;2024;29;131.14;4.52;0
SX41W;2024;14;14.35;1.03;0
GC15L;2024;11;0.77;0.07;0
BA13W;2024;21;4.18;0.2;0
OX24L;2024;16;14.84;0.93;0
SE19L;2024;10;4.19;0.42;0
OR02I;2024;16;3.84;0.24;0
SE56B;2024;1;0.25;0.25;0
SX60L;2024;3;6.76;2.25;11
CX49W;2024;33;1.82;0.06;0
TX21N;2024;33;372.83;11.3;9
TF11S;2024;49;10.77;0.22;1
PM24L;2024;7;4.42;0.63;0
HX55W;2024;24;2.49;0.1;0
BA21W;2024;102;73.81;0.72;5
GC94F;2024;26;1.48;0.06;0
OR74I;2024;3;0.51;0.17;0
TF19F;2024;23;238.4;10.37;6
HX49W;2024;56;27.34;0.49;0
CR21V;2024;223;743.3;3.33;46
TX12X;2024;54;22.69;0.42;0
TX04P;2024;6;1.76;0.29;0
GI16N;2024;12;17.73;1.48;98
LX81X;2024;12;8.72;0.73;2
TX80R;2024;27;4.66;0.17;0
GI06W;2024;6;2.4;0.4;0
TX15Z;2024;11;2.18;0.2;0
TX74S;2024;44;18.62;0.42;3
BX03I;2024;11;6.89;0.63;41
AL47I;2024;35;8.34;0.24;0
MA07S;2024;57;12.07;0.21;0
HX76W;2024;85;19.08;0.22;0
HX64W;2024;8;1.08;0.13;0
HX04L;2024;5;1.5;0.3;0
HX16C;2024;90;34.25;0.38;0
HX32C;2024;8;1.0;0.13;0
CS42A;2024;8;1.08;0.13;0
MX22Z;2024;44;30.44;0.69;0
GU21S;2024;32;16.02;0.5;6
CA14Z;2024;10;2.25;0.23;0
TF43R;2024;19;88.94;4.68;13
TF20N;2024;20;9.85;0.49;6
TO92A;2024;76;40.3;0.53;67
MX84J;2024;13;21.17;1.63;0
VA50M;2024;23;32.45;1.41;0
SE18D;2024;17;4.85;0.29;0
CR00M;2024;9;16.5;1.83;113
MA05W;2024;6;4.16;0.69;0
BX86B;2024;12;2.34;0.19;0
MX52C;2024;725;25.95;0.04;0
VA22G;2024;16;0.93;0.06;0
ZX31R;2024;9;2.92;0.32;0
MX75H;2024;10;10.59;1.06;0
PM01R;2024;54;142.6;2.64;0
TF27L;2024;86;15.73;0.18;1
PO84G;2024;26;32.14;1.24;0
SE63L;2024;13;1.84;0.14;0
MX96H;2024;10;1.9;0.19;0
SE24S;2024;38;263.03;6.92;0
MU15P;2024;28;20.1;0.72;0
CC37J;2024;29;12.06;0.42;0
LX55Z;2024;6;1.0;0.17;0
LX72X;2024;11;9.33;0.85;0
BX69P;2024;4;3.39;0.85;0
GI52Z;2024;27;4.07;0.15;0
LX36N;2024;20;8.23;0.41;2
GI10D;2024;20;13.08;0.65;0
TX57J;2024;11;6.1;0.55;0
LX96L;2024;10;3.47;0.35;2
GI75U;2024;44;416.99;9.48;16
GU21V;2024;57;61.78;1.08;0
BX06I;2024;14;7.04;0.5;6
BX71A;2024;12;9.74;0.81;0
GC02Y;2024;54;5.2;0.1;0
GR01Y;2024;69;10.48;0.15;0
MU22R;2024;56;12.99;0.23;0
AL14O;2024;42;11.48;0.27;0
GC41S;2024;18;5.41;0.3;4
BI36S;2024;108;4.52;0.04;0
TF44D;2024;11;4.76;0.43;1
BA16Y;2024;32;5.33;0.17;0
CA16Z;2024;2;2.66;1.33;0
TF20S;2024;29;239.65;8.26;1794
BA86W;2024;14;8.33;0.6;0
SE88W;2024;23;7.24;0.31;1
MX86K;2024;10;3.31;0.33;0
PO97G;2024;8;5.5;0.69;0
BX81N;2024;356;42.58;0.12;0
OR12I;2024;3;900.58;300.19;0
TX13R;2024;31;247.18;7.97;0
CO12O;2024;61;14.28;0.23;0
HX57H;2024;14;25.08;1.79;9
SE66L;2024;28;16.07;0.57;0
GI84X;2024;215;52.07;0.24;5
MX52U;2024;62;188.41;3.04;9
LX93D;2024;299;29.43;0.1;9
BI06B;2024;17;172.56;10.15;5
GR52W;2024;23;81.99;3.56;0
ZX27R;2024;63;119.62;1.9;0
LX06F;2024;8;3.59;0.45;2
LX12F;2024;4;0.26;0.07;0
GC64B;2024;15;1.57;0.1;0
PM98J;2024;11;4.65;0.42;0
BX20R;2024;16;5.24;0.33;0
CO45R;2024;37;17.81;0.48;0
MU74Y;2024;8;1.09;0.14;0
LX73Z;2024;11;0.75;0.07;0
GI31T;2024;24;19.82;0.83;8
LX34X;2024;5;3.51;0.7;2
TX05X;2024;15;15.1;1.01;1
BX99U;2024;9;1.48;0.16;0
GI10Z;2024;15;32.04;2.14;0
TX74X;2024;15;12.97;0.86;0
TX03N;2024;8;4.86;0.61;0
TX98Q;2024;27;3.47;0.13;0
TX73W;2024;4;0.27;0.07;0
SA21W;2024;1;0.0;0.0;0
LX49S;2024;20;3.49;0.17;2
BX90Z;2024;6;1.24;0.21;0
BX52C;2024;6;0.74;0.12;0
CA50Z;2024;29;3.83;0.13;0
CC21W;2024;27;3.75;0.14;0
LX02E;2024;98;198.46;2.03;0
TF12O;2024;11;4.9;0.45;0
GR15W;2024;38;19.52;0.51;0
MA46I;2024;6;4.32;0.72;0
TF14W;2024;21;32.35;1.54;0
TF21G;2024;15;0.49;0.03;0
TF27N;2024;56;36.23;0.65;734
TF16S;2024;19;2.58;0.14;0
HU46J;2024;41;29.34;0.72;1
BU87N;2024;11;4.99;0.45;0
SE09W;2024;19;2.32;0.12;0
MA60J;2024;42;30.97;0.74;0
CX83M;2024;8;7.65;0.96;0
GC26Y;2024;5;23.67;4.73;0
GC26M;2024;5;0.92;0.18;0
BA47Y;2024;7;116.67;16.67;0
AB70J;2024;71;7.33;0.1;0
PO42W;2024;42;38.0;0.9;0
SS03I;2024;8;20.54;2.57;0
SE20L;2024;16;68.33;4.27;10
VX83K;2024;4;3.94;0.99;0
TO47V;2024;217;604.43;2.79;0
ML02M;2024;5;3.46;0.69;0
CR65R;2024;142;264.9;1.87;22
VA62W;2024;27;20.25;0.75;0
LE40L;2024;26;3.74;0.14;0
GR20Y;2024;34;11.1;0.33;0
GI63X;2024;11;20.66;1.88;0
GI35W;2024;3;0.0;0.0;0
GI53Z;2024;16;0.96;0.06;0
TX80U;2024;9;1.27;0.14;0
TX93Q;2024;22;6.42;0.29;0
AB71A;2024;13;5.15;0.4;2
VA37N;2024;32;8.85;0.28;1
LU67I;2024;23;8.59;0.37;0
CS53B;2024;11;0.67;0.06;0
SO56M;2024;12;6.78;0.57;1
TX01T;2024;18;26.84;1.49;4
BA09P;2024;8;48.92;6.11;0
TF41M;2024;7;4.89;0.7;1
TF75Q;2024;23;12.21;0.53;0
AL20K;2024;57;37.01;0.65;0
SG05W;2024;46;3.79;0.08;0
BU38E;2024;9;4.71;0.52;0
BU08W;2024;3;51.92;17.31;68
SE81B;2024;22;146.5;6.66;0
CA46D;2024;15;415.58;27.71;13
BA12B;2024;22;10.34;0.47;585
MX22N;2024;7;2.12;0.3;0
OR91P;2024;141;30.55;0.22;0
JX30K;2024;38;10.32;0.27;0
LU67W;2024;33;4.36;0.13;0
GR80C;2024;13;0.32;0.02;0
PO03L;2024;16;3.99;0.25;0
GR11H;2024;52;8.34;0.16;0
PM96J;2024;20;107.36;5.37;1
TX45Z;2024;32;369.65;11.55;9
HU38J;2024;16;809.66;50.6;10
NA41E;2024;38;124.86;3.29;10
MX59S;2024;6;34.74;5.79;28
SX94L;2024;10;3.13;0.31;0
LX77M;2024;12;40.91;3.41;1
VX47P;2024;3;1.73;0.58;0
VX75D;2024;9;2.17;0.24;110
MX09T;2024;6;0.84;0.14;0
BU71W;2024;27;8.01;0.3;0
BX67P;2024;16;8.45;0.53;0
BX48U;2024;13;3.26;0.25;0
MA07P;2024;55;144.22;2.62;0
OR22W;2024;65;7.45;0.11;0
CA58Z;2024;23;5.06;0.22;0
BU93I;2024;68;57.62;0.85;8
CA82Z;2024;69;10.24;0.15;0
ASTX1;2024;19;71.86;3.78;0
GC12M;2024;11;15.91;1.45;0
GI03N;2024;9;96.33;10.7;0
TX30N;2024;10;1.93;0.19;0
TX51Z;2024;8;6.86;0.86;0
GI84V;2024;50;4.17;0.08;58
TX52Z;2024;25;0.26;0.01;0
BX00V;2024;6;1.7;0.28;0
BX15T;2024;225;24.0;0.11;41
BX34O;2024;10;13.17;1.32;21
JX41D;2024;43;7.65;0.18;0
TO05R;2024;9;3.65;0.41;2
GC47F;2024;11;1.04;0.09;0
SO46W;2024;4;0.34;0.09;0
HX75H;2024;13;1.57;0.12;0
OR74W;2024;9;5.5;0.61;0
TO93C;2024;19;6.61;0.35;0
OR43W;2024;13;307.4;23.65;40
PO91L;2024;8;6.01;0.75;0
CX74L;2024;14;1.51;0.11;0
TF39J;2024;61;39.85;0.65;0
AL03O;2024;12;16.85;1.4;0
PO11W;2024;23;13.56;0.59;0
CC92J;2024;21;54.59;2.6;0
GR07Y;2024;74;14.67;0.2;0
LE05K;2024;1;1.17;1.17;0
GC29Y;2024;5;0.75;0.15;0
TO56Q;2024;32;34.84;1.09;43
CX20I;2024;8;413.32;51.67;0
SE81L;2024;3;11.4;3.8;2
SE39W;2024;99;28.9;0.29;0
TX07Q;2024;43;224.16;5.21;3
AB01M;2024;14;52.09;3.72;0
BA25J;2024;39;15.85;0.41;0
BA24J;2024;53;21.21;0.4;0
BA58W;2024;23;5.33;0.23;0
BX42A;2024;10;9.0;0.9;0
MA40O;2024;6;5.83;0.97;0
GC08Z;2024;25;12.91;0.52;5
BA58J;2024;15;5.05;0.34;0
GI92O;2024;16;0.82;0.05;0
TX10T;2024;2;0.17;0.09;0
TX72Y;2024;12;5.14;0.43;1
BX23P;2024;8;11.72;1.47;0
TX23Z;2024;10;54.83;5.48;0
GI26V;2024;7;3.64;0.52;0
TX05W;2024;25;2.76;0.11;0
LX36W;2024;3;3.33;1.11;0
TF21Y;2024;18;27.7;1.54;4
CAN5387;2024;26;17.16;0.66;2
SO56W;2024;9;4.6;0.51;1
LX98M;2024;6;11.5;1.92;0
BX73Z;2024;40;12.17;0.3;0
HX03L;2024;7;1.59;0.23;0
GU03C;2024;22;15.62;0.71;6
GU09C;2024;31;18.73;0.6;6
CO11O;2024;24;4.25;0.18;0
CU34A;2024;64;20.12;0.31;87
GI74M;2024;3;0.91;0.3;0
PO07W;2024;4;0.34;0.09;0
TF70D;2024;18;25.49;1.42;9
TF01C;2024;13;6.3;0.48;16
SA45I;2024;20;3.4;0.17;0
BX83W;2024;5;135.68;27.14;5
SG07R;2024;12;1.29;0.11;0
TX01D;2024;11;5.92;0.54;0
LU06L;2024;10;4.16;0.42;0
CO31B;2024;168;705.49;4.2;0
MA82I;2024;11;26.59;2.42;0
PM08J;2024;30;5.96;0.2;0
MX02X;2024;7;24.09;3.44;4
GR22H;2024;40;12.48;0.31;0
GR68W;2024;17;16.81;0.99;0
PO29G;2024;92;18.98;0.21;2
MX41F;2024;6;1020.36;170.06;468
LX10L;2024;63;391.13;6.21;0
SE21Y;2024;16;3.16;0.2;0
TO20B;2024;22;3.93;0.18;0
TX71A;2024;3;0.17;0.06;0
SS11A;2024;16;10.3;0.64;27
GC00L;2024;646;863.22;1.34;0
MA01W;2024;9;11.68;1.3;0
GR70Z;2024;68;11.31;0.17;0
MX76G;2024;34;39.85;1.17;12
LX82Z;2024;5;21.58;4.32;0
BX31T;2024;3;3.39;1.13;0
GI42H;2024;48;168.88;3.52;0
LX90X;2024;19;4.89;0.26;0
TX20R;2024;28;3.66;0.13;0
SA27I;2024;18;4.02;0.22;0
VX17X;2024;56;106.73;1.91;0
BX67D;2024;13;7.94;0.61;0
BX05I;2024;9;10.49;1.17;0
BX84N;2024;29;109.73;3.78;0
CA19G;2024;14;0.52;0.04;0
BX13S;2024;15;8.75;0.58;0
SE27W;2024;49;13.83;0.28;0
BI04Z;2024;13;135.23;10.4;112
BA23P;2024;24;204.83;8.53;0
SE28E;2024;9;108.53;12.06;7
MX63Z;2024;5;2.0;0.4;0
BA66J;2024;19;5.64;0.3;0
SG04W;2024;14;57.01;4.07;0
PM35R;2024;13;5.82;0.45;0
SS11D;2024;4;6.19;1.55;3
LE71L;2024;29;2.01;0.07;0
MA72Q;2024;34;7.07;0.21;0
ZX06V;2024;8;5.59;0.7;0
TF15F;2024;8;0.08;0.01;0
TF24R;2024;25;31.34;1.25;1
TF31P;2024;68;161.31;2.37;0
CW23N;2024;1;0.0;0.0;0
GC22L;2024;9;4.49;0.5;0
PO22I;2024;14;6.31;0.45;0
TF45F;2024;16;52.32;3.27;1
OX75W;2024;19;6.18;0.33;0
LX61S;2024;17;6.85;0.4;0
JX01A;2024;57;6.15;0.11;0
MX15N;2024;17;164.02;9.65;7
SS02D;2024;10;49.18;4.92;4
OX61L;2024;26;5.82;0.22;0
GC14T;2024;28;28.15;1.01;3
BX06Z;2024;13;10.33;0.79;0
TX79M;2024;23;22.37;0.97;0
TX14R;2024;5;0.45;0.09;0
TX37W;2024;5;57.6;11.52;68
BX91T;2024;3;3.31;1.1;0
TX96S;2024;50;20.09;0.4;2
GC05B;2024;9;1.51;0.17;0
SA34W;2024;15;13.09;0.87;0
BI91T;2024;9;28.49;3.17;117
CS60B;2024;10;4.61;0.46;0
MA60W;2024;10;2.74;0.27;0
CS05C;2024;4;8.67;2.17;0
AL58W;2024;55;63.31;1.15;8
GC12Z;2024;13;6.69;0.51;2
CX41K;2024;8;16.84;2.11;0
SE47S;2024;7;0.68;0.1;0
GI01X;2024;35;93.48;2.67;165
GU22S;2024;32;16.67;0.52;6
AL10J;2024;9;13.78;1.53;0
CC38J;2024;23;10.18;0.44;0
GR02Y;2024;26;28.82;1.11;0
AV20R;2024;51;2.95;0.06;0
CC96W;2024;12;2.59;0.22;0
CC14Y;2024;9;2.7;0.3;0
GC20P;2024;29;86.62;2.99;0
TE04T;2024;136;197.18;1.45;41
ZX19C;2024;5;4.76;0.95;0
GR03J;2024;77;9.13;0.12;0
HU09W;2024;77;26.32;0.34;0
GR73W;2024;44;27.32;0.62;0
VX54W;2024;20;5.35;0.27;0
SX74W;2024;60;46.19;0.77;0
CX06U;2024;2;1.02;0.51;0
MX98T;2024;9;3.84;0.43;0
MU39T;2024;9;30.25;3.36;0
BX48C;2024;18;15.94;0.89;6
GC28T;2024;127;2.03;0.02;0
ZX05R;2024;65;148.13;2.28;0
ZX11R;2024;14;2.09;0.15;0
BI63Y;2024;252;10.43;0.04;0
VI13B;2024;12;16.5;1.38;0
SX66Z;2024;17;2.4;0.14;0
VA41F;2024;13;79.02;6.08;0
GC19Y;2024;8;5.51;0.69;0
CX13J;2024;37;7.16;0.19;0
GI79L;2024;20;71.48;3.57;7
LX59Z;2024;3;0.0;0.0;0
TX75Z;2024;4;0.35;0.09;0
GI05F;2024;7;0.43;0.06;0
TX39H;2024;26;11.08;0.43;2
TX83S;2024;7;12.9;1.84;0
AB45A;2024;12;7.49;0.62;4
CA08M;2024;37;8.71;0.24;97
HX68W;2024;17;18.67;1.1;0
PM82Y;2024;10;4.06;0.41;0
MU53R;2024;128;80.93;0.63;0
SE33Q;2024;335;52.04;0.16;3
SA68W;2024;57;39.78;0.7;0
MA32I;2024;18;7.42;0.41;0
TF08E;2024;42;196.09;4.67;105
BU06L;2024;9;5.92;0.66;0
TO19S;2024;68;38.3;0.56;53
JX10A;2024;4;0.33;0.08;0
GC62C;2024;10;8.71;0.87;0
JX82W;2024;31;16.24;0.52;0
MX96K;2024;10;2.24;0.22;0
PO30I;2024;59;177.55;3.01;0
BA97J;2024;5;0.34;0.07;0
MX55A;2024;21;9.58;0.46;1
TO22B;2024;45;16.76;0.37;2
MX16M;2024;7;8.66;1.24;0
CA39L;2024;7;2.67;0.38;0
LX89X;2024;29;8.66;0.3;1
AX84S;2024;2;4.88;2.44;0
SE38W;2024;127;74.41;0.59;0
CO11B;2024;120;215.03;1.79;0
BI51Y;2024;4;4.65;1.16;0
OX82C;2024;709;34.63;0.05;0
SE88Y;2024;62;8.23;0.13;0
TX79B;2024;65;8.0;0.12;1
TX61U;2024;13;18.38;1.41;21
CO59O;2024;55;15.34;0.28;0
LX80S;2024;5;3.08;0.62;0
LX73M;2024;3;4.34;1.45;0
GI08F;2024;31;8.65;0.28;0
GI81I;2024;16;2.19;0.14;0
GI33Y;2024;9;2.68;0.3;0
TX22Z;2024;36;5.86;0.16;0
TX73Y;2024;9;152.91;16.99;2
BA19W;2024;12;19.33;1.61;8
TO15R;2024;50;396.23;7.92;16
TO60Q;2024;15;9.45;0.63;0
VX06C;2024;8;7.35;0.92;6
SO28W;2024;27;9.36;0.35;0
SO05P;2024;15;4.65;0.31;0
BA49B;2024;31;38.92;1.26;585
HX55H;2024;2;0.75;0.38;0
ZA11R;2024;3;0.0;0.0;0
CR02S;2024;29;10.06;0.35;2
SX63I;2024;3;10.15;3.38;0
SX64W;2024;16;3.65;0.23;0
BX33U;2024;4;2.99;0.75;0
VA14I;2024;16;10.04;0.63;0
HX58W;2024;25;4.31;0.17;0
TF63S;2024;22;239.08;10.87;953
TF22S;2024;28;6.87;0.25;1
TF04O;2024;8;0.16;0.02;0
BU91I;2024;6;4.84;0.81;0
AL09K;2024;28;11.15;0.4;0
OX15L;2024;18;1.93;0.11;0
BX76M;2024;23;73.19;3.18;8
SE27Y;2024;48;65.45;1.36;1
AX20Y;2024;11;472.02;42.91;0
MA67I;2024;5;1.68;0.34;0
GC46H;2024;15;1.34;0.09;0
TF54R;2024;19;35.66;1.88;0
TO47Q;2024;30;3.86;0.13;0
VX72A;2024;23;6.7;0.29;8
HX04U;2024;11;12.58;1.14;0
MA15W;2024;33;7.99;0.24;0
PO63G;2024;52;394.46;7.59;11
AV28M;2024;28;386.16;13.79;7
OX50H;2024;20;3.2;0.16;0
BX04C;2024;21;4.51;0.21;0
LX07R;2024;7;2.71;0.39;0
PO96W;2024;11;2.67;0.24;0
SO48E;2024;16;8.99;0.56;0
GI11F;2024;45;40.92;0.91;0
CA63H;2024;42;8.01;0.19;0
MU82R;2024;66;14.55;0.22;0
GC60F;2024;12;21.4;1.78;0
LX77R;2024;23;14.34;0.62;0
GI17X;2024;14;0.0;0.0;0
TX15O;2024;31;92.03;2.97;0
BX75K;2024;5;2.92;0.58;0
BX41U;2024;13;2.04;0.16;0
GR27H;2024;56;9.41;0.17;0
BI04S;2024;22;138.84;6.31;43
GR95K;2024;58;8.99;0.16;0
CC85W;2024;33;2.9;0.09;0
BI93T;2024;7;12.67;1.81;117
